reference,planning-application,decision,decision-date,organisation,decision-maker,planning-officer-recommendation,document-url,documentation-url,notes
132900/LPL/2022-decision,132900/LPL/2022,granted,2022-05-16,local-authority:MAN,planning-officer,granted,,https://arcusbe.manchester.gov.uk/pr/s/detail/a1DSI000007GLWAMAW?c__r=Arcus_BE_Public_Register,Decision maker mapped from Delegated Decision evidence.
17_05993_OUT-decision-notice,17/05993/OUT,granted,2019-09-26,local-authority:LBH,committee,granted,https://planning.lambeth.gov.uk/online-applications/files/E894D12848BEB97593A03A569EE1E834/pdf/17_05993_OUT-PEOUTZ_TEMPLATE__PH_-2379742.pdf,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=POT7CFBOIX100,
17_06112_FUL-decision-notice,17/06112/FUL,granted,2018-05-08,local-authority:LBH,committee,granted,https://planning.lambeth.gov.uk/online-applications/files/DEBF047649FD633675E00420C0A40880/pdf/17_06112_FUL-PEFULZ_TEMPLATE__PH_-2087031.pdf,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=P1641SBOJ8S00,
18_01443_FUL-decision-notice,18/01443/FUL,granted,2018-08-02,local-authority:LBH,planning-officer,granted,,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=P6D6NLBOI4400,
19_00847_FUL-decision-notice,19/00847/FUL,granted,2019-10-16,local-authority:LBH,planning-officer,granted,,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=PO037FBOK4R00,A decision notice was not available on Lambeth Council's public access site when the evidence was captured. This decision record is supported by the public application page and delegated officer report.
2011_0734-dn,2011/0734,granted,2012-03-30,local-authority:HCK,committee,,,https://developmentandhousing.hackney.gov.uk/planning/index.html?fa=getApplication&id=21998,
2012_2584-decision-notice,2012/2584,granted,2012-11-08,local-authority:HCK,committee,,,https://developmentandhousing.hackney.gov.uk/planning/index.html?fa=getApplication&id=21400,
2020_2026-decision-notice,2020/2026,granted,2020-09-09,local-authority:HCK,,,,https://developmentandhousing.hackney.gov.uk/planning/index.html?fa=getApplication&id=85297,
2023_1428-decision-notice,2023/1428/P,granted,2023-05-18,local-authority:CMD,planning-officer,,,https://planningrecords.camden.gov.uk/NECSWS/PlanningExplorer/Generic/StdDetails.aspx?PT=Planning%20Applications%20On-Line&TYPE=PL/PlanningPK.xml&PARAM0=613544&XSLT=/NECSWS/PlanningExplorer/SiteFiles/Skins/camden/xslt/PL/PLDetails.xslt&FT=Planning%20Application%20Details&PUBLIC=Y&XMLSIDE=/NECSWS/PlanningExplorer/SiteFiles/Skins/camden/Menus/PL.xml&DAURI=PLANNING,
2025_1674-decision-notice,2025/1674,granted,2025-10-17,local-authority:HCK,,,,https://developmentandhousing.hackney.gov.uk/planning/index.html?fa=getApplication&id=83318,
2026_0692-decision-notice,2026/0692,granted,2026-05-06,local-authority:HCK,planning-officer,,,https://developmentandhousing.hackney.gov.uk/planning/index.html?fa=getApplication&id=85205,
25/00888/PIP-decision,25/00888/PIP,granted,2025-12-22,local-authority:WYR,planning-officer,granted,https://publicaccess.wyre.gov.uk/online-applications/files/17FFEB7640FA233B468449DBACDC1FB2/pdf/25_00888_PIP-Decision_Notice-894750.pdf,https://publicaccess.wyre.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=T4SFE5SDOAD00,Decision maker mapped from Delegated Decision evidence.
26/01092/ROC-decision,26/01092/ROC,granted,2026-07-07,local-authority:DAC,planning-officer,,https://planning.dacorum.gov.uk/publicaccess/files/01CA67119CDAE117D277FB12965446BF/pdf/26_01092_ROC-ROC_-_GRANT__DECISION_NOTICE_-1727184.pdf,https://planning.dacorum.gov.uk/publicaccess/applicationDetails.do?activeTab=summary&keyVal=TEZ8ESFOGYNOO,Decision maker mapped from Delegated Decision evidence.
26/01163/DRC-decision,26/01163/DRC,refused,2026-07-16,local-authority:DAC,planning-officer,,https://planning.dacorum.gov.uk/publicaccess/files/121F493EEF4E455A51C24909B197D6EA/pdf/26_01163_DRC-DRC_-_REFUSAL__DECISION_NOTICE_-1729490.pdf,https://planning.dacorum.gov.uk/publicaccess/applicationDetails.do?activeTab=summary&keyVal=TFDTBGFOH4200,Decision maker mapped from Delegated Decision evidence.
26/01189/DRC-decision,26/01189/DRC,granted,2026-07-13,local-authority:DAC,planning-officer,granted,https://planning.dacorum.gov.uk/publicaccess/files/7A739149175601E0651C633B5D1A0F7C/pdf/26_01189_DRC-DRC_-_GRANT__DECISION_NOTICE_-1728360.pdf,https://planning.dacorum.gov.uk/publicaccess/applicationDetails.do?activeTab=summary&keyVal=TFN2KIFOH6Y00,Decision maker mapped from Delegated Decision evidence.
26_01380_FUL-decision-notice,26/01380/FUL,granted,2026-07-13,local-authority:LBH,planning-officer,granted,,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=TECY29BOG8400,
DC_15_092295-decision-notice,DC/15/092295,granted,2016-03-23,local-authority:LEW,committee,granted,,https://planning.lewisham.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_LEWIS_DCAPR_79281,
DC_16_097629-decision-notice,DC/16/097629,granted,2019-03-28,local-authority:LEW,committee,,,https://planning.lewisham.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_LEWIS_DCAPR_85105,
DC_16_098622-decision-notice,DC/16/098622,refused,2017-01-26,local-authority:LEW,planning-officer,,,https://planning.lewisham.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_LEWIS_DCAPR_86248,
PLA-2026-000453-decision,PLA-2026-000453,granted,2026-07-13,local-authority:MAN,planning-officer,granted,,https://arcusbe.manchester.gov.uk/pr/s/detail/a1DSI0000070fC1MAI?c__r=Arcus_BE_Public_Register,Decision maker mapped from Delegated Decision evidence.
