reference,planning-application,permission-process-event,event-date,notes
2011_0734-timeline-application-received,2011/0734,application-received,2011-03-15,
2011_0734-timeline-found-valid,2011/0734,found-valid,2011-03-15,
2012_2584-timeline-application-submitted,2012/2584,application-submitted,2012-08-09,Decision notice Date of Application; public page Received Date.
2012_2584-timeline-valid-from,2012/2584,valid-from,2012-08-09,Decision notice Date Validated; public page Valid Date.
2020_2026-timeline-application-submitted,2020/2026,application-submitted,2020-07-08,Decision notice Date of Application; public register Received Date.
2020_2026-timeline-valid-from,2020/2026,valid-from,2020-07-15,Decision notice Date Validated; public register Valid Date.
2023_1428-timeline-consultation-end,2023/1428/P,consultation-end,2023-05-15,Public register label: Comments Until.
2023_1428-timeline-valid-from,2023/1428/P,valid-from,2023-04-14,Public register label: Application Registered.
2025_1674-timeline-application-submitted,2025/1674,application-submitted,2025-07-23,Submission details submitted-at date from the extracted application form payload.
2026_0692-timeline-application-submitted,2026/0692,application-submitted,2026-03-30,Decision notice Date of Application; public register Received Date
2026_0692-timeline-valid-from,2026/0692,valid-from,2026-04-09,Decision notice Date Validated; public register Valid Date
DC_15_092295-timeline-committee-date,DC/15/092295,committee-date,2015-10-29,Actual Committee Date on the public register.
DC_15_092295-timeline-publicity-start,DC/15/092295,publicity-start,2015-09-23,Public register records both the last press advertisement and last site notice on this date.
DC_15_092295-timeline-resolution-to-grant,DC/15/092295,resolution-to-grant,2015-10-29,"Committee-stage resolution to grant, subject to the legal agreement and referral process."
DC_15_092295-timeline-time-extension-agreed,DC/15/092295,time-extension-agreed,2016-03-23,Agreed Expiry Date on the public register.
DC_15_092295-timeline-valid-from,DC/15/092295,valid-from,2015-05-18,Application Validated Date on the public register.
DC_16_097629-timeline-application-published,DC/16/097629,application-published,2016-07-21,Earliest publication date visible in the public document list.
DC_16_097629-timeline-application-submitted,DC/16/097629,application-submitted,2016-07-20,Date on the signed application declaration.
DC_16_097629-timeline-committee-date,DC/16/097629,committee-date,2017-10-18,Actual committee date shown on Lewisham's register.
DC_16_097629-timeline-publicity-start,DC/16/097629,publicity-start,2016-08-10,Last site notice posted date shown by Lewisham; treated as evidence of site-notice publicity on that date.
DC_16_097629-timeline-valid-from,DC/16/097629,valid-from,2016-07-22,Application validated date shown on Lewisham's register and decision notice.
DC_16_098622-timeline-application-submitted,DC/16/098622,application-submitted,2016-10-05,Public register Application Received Date.
DC_16_098622-timeline-resolution-to-refuse,DC/16/098622,resolution-to-refuse,2017-01-26,Decision notice date and public register Decision Issued Date. Used because the current codelist has no separate decision-issued event.
DC_16_098622-timeline-valid-from,DC/16/098622,valid-from,2016-12-01,Decision notice Application Valid Date; public register Application Validated Date.
