reference,name,description,notes,entry-date,end-date
application-submitted,Application submitted,The date the application was submitted,Users need to know when an application was submitted so they can understand when the clock started and assess timeliness.,2026-01-28,
invalid-from,Invalid,"The date from which the authority treated the application as invalid, which may differ from the date the validation check was completed or the applicant was notified.",Users need to know if and when an application was deemed invalid so they can understand delays and what halted progression.,2026-01-28,
valid-from,Valid,"The date from which the authority treated the application as valid for statutory or process purposes, which may differ from the date the validation check was completed.",Users need to know when an application was validated so they can see when formal assessment began and how long validation took.,2026-01-28,
validation-completed,Validation completed,"The date the authority completed its validation check, which may differ from the date the application is treated as valid from.",Users need to know when validation was completed so they can distinguish the validation admin task from the date the application is treated as valid.,2026-05-29,
application-published,Application published,The date the application was first published on the planning register or authority website.,Users need to know when an application was first published so they can understand when it became publicly visible and distinguish publication from publicity or consultation dates.,2026-05-29,
publicity-start,Publicity start,The date publicity for the application started under Article 15 of the Development Management Procedure Order.,Users need to know when application publicity started so they can distinguish statutory publicity from publication on the register and consultee consultation dates.,2026-06-03,
additional-information-requested,Additional information requested,The date the authority asked for further information,Users need to know when further information was requested so they can see what triggered delays and what is outstanding.,2026-01-28,
additional-information-received,Additional information received,The date the applicant supplied the requested information,Users need to know when the requested information was supplied so they can judge whether the application can progress.,2026-01-28,
consultation-start,Consultation start,The date the consultation opens,Users need to know when public/consultee consultation began so they can assess openness and statutory timing.,2026-01-28,
consultation-end,Consultation end,The date the consultation closes,Users need to know when consultation closed so they can understand deadlines and whether responses were in time.,2026-01-28,
consultees-contacted,Consultees contacted,The date consultees were contacted,Users need to know when consultees were contacted so they can confirm engagement took place and align it with consultation timelines.,2026-01-28,
call-in-direction-issued,Call-in direction issued,The date the direction to call in the application was issued,Users need to know when an application was called in so they can understand the change in decision route and timetable.,2026-01-28,
committee-date,Committee date,The date of the committee meeting,Users need to know when an application is going to committee so they can follow decision-making and prepare representations.,2026-01-28,
resolution-to-grant,Resolution to grant,The date the determining authority resolved to grant permission before the formal decision notice was issued.,Users need to know when the determining authority has resolved to grant so they can understand the application's direction before the formal decision notice is issued.,2026-06-05,
resolution-to-refuse,Resolution to refuse,The date the determining authority resolved to refuse permission before the formal decision notice was issued.,Users need to know when the determining authority has resolved to refuse so they can understand the application's direction before the formal decision notice is issued.,2026-06-05,
time-extension-agreed,Time extension agreed,The date an extension of time was agreed,Users need to know when an extension of time was agreed so they can assess revised deadlines and accountability for delays.,2026-01-28,
