reference,parent,name,description,notes
houses,,Houses,"Detached, semi-detached, or terraced houses.",
flats-maisonettes,,Flats/Maisonettes,Self-contained apartments or maisonettes.,
sheltered-housing,,Sheltered Housing,Housing with support for older or disabled people.,GLA treats this as a separate field rather than a housing type.
bedsit-studio,,Bedsit/Studio,Single-room living spaces.,Used by both MHCLG and GLA.
cluster-flats,,Cluster Flats,Flats with shared communal areas.,Used by both MHCLG and GLA.
other,,Other,Any other housing type not listed.,Used by both MHCLG and GLA.
live-work-units,flats-maisonettes,Live-Work Units,Properties combining residential and workspace.,Used by both MHCLG and GLA.
unknown,,Unknown,When the type of housing is uncertain.,
terraced-home,houses,Terraced Home,Terraced house type.,Used by GLA.
house-or-bungalow,houses,House or Bungalow,House or bungalow type.,Used by GLA.
semi-detached-home,houses,Semi Detached Home,Semi-detached house type.,Used by GLA.
flat-apartment-maisonette,flats-maisonettes,Flat Apartment Maisonette,Flat apartment or maisonette type.,Used by GLA.
co-living-unit,,Co Living Unit,Co-living unit.,Used by GLA only with no clear MHCLG parent.
hmo,,HMO,House in multiple occupation.,Used by GLA only with no clear MHCLG parent.
student-accommodation,,Student Accommodation,Student accommodation.,Used by GLA only with no clear MHCLG parent.
communal-space,,Communal Space,Communal space associated with residential use.,Used by GLA only with no clear MHCLG parent.
