reference,name,description,discussion-number,application-forms,notes,replaced-by,entry-date,end-date
adj-premises,Adjoining premises,The addresses of any adjoining properties,#25,form-app-prior-approval-required-for-larger-home-ext,,,,
advert-period,Advertisement period,"The amount of time you're planning for your advert to be on display",#27,form-app-for-pp-and-consent-to-display-advert;form-app-for-consent-to-display-advert,,,,
agent-contact,Agent contact details,Details needed for contacting the person representing the applicant,#30,form-hh-ext-to-dwelling;form-hh-ext-to-dwelling-and-relevant-demo-of-unlisted-building-in-ca;form-hh-ext-to-dwelling-and-lb-consent;form-app-for-pp;form-app-for-outline-pp-some-matters-reserved;form-app-for-outline-pp-all-matters-reserved;form-app-for-pp-and-relevant-demo-of-unlisted-building-in-ca;form-app-for-pp-and-lb-consent-for-alts-exts-or-demo-of-lb;form-app-for-pp-and-consent-to-display-advert;form-demo-in-a-ca;form-app-for-listed-building-consent-for-alts-exts-or-demo;form-app-for-consent-to-display-advert;form-app-lawful-dev-cert-for-existing-use-or-operation-or-activity-inc-in-breach-of-plan-condition;form-app-lawful-dev-cert-for-proposed-use-or-dev;form-app-for-removal-or-var-of-condition-following-pp-grant;form-app-for-tree-works;form-app-for-dev-onshore-extraction-oil-gas;form-app-for-cert-of-lawfulness-proposed-works-to-lb;form-app-approval-of-reserved-matters;form-app-approval-of-details-reserved-by-condition-discharge;form-app-non-material-amendment-following-grant-of-pp;form-app-prior-approval-required-for-larger-home-ext;form-app-prior-approval-proposed-enlargement-dh-by-add-stories,,,,
agent-details,Agent name and address,Details about the person representing the applicant,#28,form-hh-ext-to-dwelling;form-hh-ext-to-dwelling-and-relevant-demo-of-unlisted-building-in-ca;form-hh-ext-to-dwelling-and-lb-consent;form-app-for-pp;form-app-for-outline-pp-some-matters-reserved;form-app-for-outline-pp-all-matters-reserved;form-app-for-pp-and-relevant-demo-of-unlisted-building-in-ca;form-app-for-pp-and-lb-consent-for-alts-exts-or-demo-of-lb;form-app-for-pp-and-consent-to-display-advert;form-demo-in-a-ca;form-app-for-listed-building-consent-for-alts-exts-or-demo;form-app-for-consent-to-display-advert;form-app-lawful-dev-cert-for-existing-use-or-operation-or-activity-inc-in-breach-of-plan-condition;form-app-lawful-dev-cert-for-proposed-use-or-dev;form-app-for-removal-or-var-of-condition-following-pp-grant;form-app-for-tree-works;form-app-for-dev-onshore-extraction-oil-gas;form-app-for-cert-of-lawfulness-proposed-works-to-lb;form-app-permission-in-principle;form-app-approval-of-reserved-matters;form-app-approval-of-details-reserved-by-condition-discharge;form-app-non-material-amendment-following-grant-of-pp;form-app-prior-approval-required-for-larger-home-ext;form-app-prior-approval-proposed-enlargement-dh-by-add-stories,,,,
non-res-floorspace,All types of development: Non-residential floorspace,Details of any new non-residential development involved in the proposal,#46,form-app-for-pp;form-app-for-outline-pp-some-matters-reserved;form-app-for-outline-pp-all-matters-reserved;form-app-for-pp-and-relevant-demo-of-unlisted-building-in-ca;form-app-for-pp-and-lb-consent-for-alts-exts-or-demo-of-lb;form-app-for-pp-and-consent-to-display-advert,,,,
applicant-contact,Applicant contact details,Details needed for contacting the applicant,#31,form-hh-ext-to-dwelling;form-hh-ext-to-dwelling-and-relevant-demo-of-unlisted-building-in-ca;form-hh-ext-to-dwelling-and-lb-consent;form-app-for-pp;form-app-for-outline-pp-some-matters-reserved;form-app-for-outline-pp-all-matters-reserved;form-app-for-pp-and-relevant-demo-of-unlisted-building-in-ca;form-app-for-pp-and-lb-consent-for-alts-exts-or-demo-of-lb;form-app-for-pp-and-consent-to-display-advert;form-demo-in-a-ca;form-app-for-listed-building-consent-for-alts-exts-or-demo;form-app-for-consent-to-display-advert;form-app-lawful-dev-cert-for-existing-use-or-operation-or-activity-inc-in-breach-of-plan-condition;form-app-lawful-dev-cert-for-proposed-use-or-dev;form-app-for-removal-or-var-of-condition-following-pp-grant;form-app-for-tree-works;form-app-for-dev-onshore-extraction-oil-gas;form-app-for-cert-of-lawfulness-proposed-works-to-lb;form-app-approval-of-reserved-matters;form-app-approval-of-details-reserved-by-condition-discharge;form-app-non-material-amendment-following-grant-of-pp;form-app-prior-approval-required-for-larger-home-ext;form-app-prior-approval-proposed-enlargement-dh-by-add-stories,,,,
applicant-details,Applicant name and address,Details about the applicant,#29,form-hh-ext-to-dwelling;form-hh-ext-to-dwelling-and-relevant-demo-of-unlisted-building-in-ca;form-hh-ext-to-dwelling-and-lb-consent;form-app-for-pp;form-app-for-outline-pp-some-matters-reserved;form-app-for-outline-pp-all-matters-reserved;form-app-for-pp-and-relevant-demo-of-unlisted-building-in-ca;form-app-for-pp-and-lb-consent-for-alts-exts-or-demo-of-lb;form-app-for-pp-and-consent-to-display-advert;form-demo-in-a-ca;form-app-for-listed-building-consent-for-alts-exts-or-demo;form-app-for-consent-to-display-advert;form-app-lawful-dev-cert-for-existing-use-or-operation-or-activity-inc-in-breach-of-plan-condition;form-app-lawful-dev-cert-for-proposed-use-or-dev;form-app-for-removal-or-var-of-condition-following-pp-grant;form-app-for-tree-works;form-app-for-dev-onshore-extraction-oil-gas;form-app-for-cert-of-lawfulness-proposed-works-to-lb;form-app-permission-in-principle;form-app-approval-of-reserved-matters;form-app-approval-of-details-reserved-by-condition-discharge;form-app-non-material-amendment-following-grant-of-pp;form-app-prior-approval-required-for-larger-home-ext;form-app-prior-approval-proposed-enlargement-dh-by-add-stories,,,,
,Application for tree works - checklist,,#47,form-app-for-tree-works,,checklist,,2025-02-17
,Application requirements - checklist,,#48,form-app-for-cert-of-lawfulness-proposed-works-to-lb,Slight change in wording to first instance found - 'Planning application requirements - checklist',checklist,,2025-02-17
flood-risk-assessment,Assessment of flood risk,An assessment needed for any developments within any flood risk zones,#49,form-app-for-pp;form-app-for-outline-pp-some-matters-reserved;form-app-for-outline-pp-all-matters-reserved;form-app-for-pp-and-relevant-demo-of-unlisted-building-in-ca;form-app-for-pp-and-lb-consent-for-alts-exts-or-demo-of-lb;form-app-for-pp-and-consent-to-display-advert;form-app-for-dev-onshore-extraction-oil-gas,,,,
