reference,name,description,synonyms,document-type,source,notes,entry-date,end-date
acoustic-report,Acoustic report,A report measuring the noise environment for a new development or its effect within a proposed development,Noise impact assessment,,,Consolidated into noise-assessment following review,,2026-09-09
affordable-housing-statement,Affordable housing statement,This statement should set out how the development scheme will comply with the local authority’s  affordable housing policy,,,"National Planning Policy Framework (NPPF), paras 61-77",,,
air-quality-assessment,Air quality assessment (AQA),An assessment of the impact on air quality around the development and during the construction phase,,,"National Planning Policy Framework (NPPF), paras 110, 119",,,
arboriculturist-report,Arboricultural impact assessment,"An assessment of how proposed development affects trees on or near the site, including trees to be retained or removed and measures needed to protect retained trees during construction.",Arboricultural report;Tree report;Tree survey;Arboricultural implication assessment,,"National Planning Policy Framework (NPPF), paras 44, 136, 187, 193",,,
archaeological-assessment,Archaeological assessment,An evaluation to identify and assess the potential of an area to contain as-yet unrecorded archaeological sites,,,,,,
biodiversity-survey-report,Biodiversity survey and report,"Information on existing habitats, biodiversity interests and protected species, the effects of proposed development and measures to avoid, mitigate or compensate for adverse impacts and enhance biodiversity. Includes relevant surveys and plans showing existing and proposed habitats where needed, which may be supplied within the report or as accompanying documents.",Biodiversity report;Biodiversity statement;Ecology assessment;Ecology report,,"The Environment Act 2021 National Planning Policy Framework (NPPF), paragraphs 187 - 195 National Planning Practice Guidance (NPPG), under the heading ‘Natural Environment’",,,
cil-form,Community infrastructure levy (CIL) form,A form that must be completed to determine whether the development is subject to a CIL payment,,,,,,
condition-of-trees,Tree condition evidence,Written arboricultural advice or other diagnostic information from an appropriate expert supporting proposed works to a tree protected by a tree preservation order where the reasons for the works include disease or concern that the tree might break or fall.,Condition of Trees,,,"Covers if tree is diseased, at risk of breaking or falling",,
application-form,Application form,"The application form required for a planning application, including the relevant sections and questions",,,"Article 7 Town and Country Planning (Development Management Procedure) (England) Order 2015 (as amended)and Country Planning (Development Management Procedure) (England) Order 2015 (as amended)",,2025-05-07,
daylight-sunlight-assessment,Daylight and sunlight assessment,An assessment to evaluate the potential impact of a proposed development on the amount of natural light received by surrounding properties,,,,,,
design-and-access-statement,Design and access statement,"A report accompanying and supporting a planning application that explains how a proposed development is a suitable response to the site and its setting, and demonstrates that it can be adequately accessed by prospective users",,,"Article 9, Town and Country Planning (Development Management Procedure) (England) Order 2015 (as amended)",general requirement,,
