module,module_name,total_issues,current_issues,labels
access-rights-of-way,"Pedestrian and vehicle access, roads and rights of way",0,0,component: pedestrian and vehicle access
advert-location,Location of advertisement(s),0,0,component:location of advertisement(s)
advert-period,Advertisement period,0,0,component: advertisement period
advertisement-types,Type of proposed advertisement(s),0,0,component: Type of proposed advertisement
agent-contact,Agent contact details,0,0,component: agent contact details
agent-details,Agent name and address,0,0,component:agent name and address
applicant-contact,Applicant contact details,0,0,component: applicant contact details
applicant-details,Applicant name and address,0,0,component:applicant name and address
bio-geo-arch-con,Biodiversity and geological conservation,0,0,component:bio geo conservation
bng,Biodiversity net gain,0,0,component:biodiversity net gain
checklist,Checklist,0,0,component: application for tree works - checklist;component: application reqs - checklist;component: checklist;component: planning application req - checklist
community-consultation,Neighbour and community consultation,0,0,component:neighbour and community consultation
conflict-of-interest,Authority employee/member,0,0,component:authority employee / member
declaration,Declaration,0,0,component: declaration
demolition,Demolition,0,0,component: demolition
designated-areas,Designated areas,0,0,component: designated area
dev-type,Type of development,0,0,component: type of dev
eligibility,Eligibility,0,0,component:eligibility
eligibility-current-building,Eligibility - The current building and site,0,0,component:eligibility current building
employment,Employment,0,0,component: employment
flood-risk-assessment,Assessment of flood risk,0,0,component:assessment of flood risk
foul-sewage,Foul sewage,0,0,component: foul sewage
grounds-for-application,Grounds for application,0,0,component:ground for app
grounds-ldc,Grounds for application for a lawful development certificate,0,0,component:grounds for app ldc
immunity-from-listing,Immunity from listing,0,0,component:immunity from listing
materials,Materials,0,0,component:materials
non-res-floorspace,All types of development: Non-residential floorspace,0,0,component:non-res floorspace
ownership-certs,Ownership certificates and agricultural land declaration,0,0,component:ownership certificates;component:ownership certs + agr
pre-app-advice,Pre-application advice,0,0,component:pre-application advice
processes-machinery-waste,Industrial or commercial processes and machinery,0,0,component: processes and machinery
proposal-details,Description of the proposal,0,0,component:description of the proposal;component:development description
proposed-advert-details,Details about the proposed advertisement,0,0,component: details proposed adverts
res-units,Residential units (including conversion),0,0,component: res units
site-area,Site area,0,0,component: site area
site-details,Site address details,0,0,component:site address details
site-visit,Site visit,0,0,component:site visit
trade-effluent,Trade effluent,0,0,component: trade effluent
trees-location,Trees location,0,0,component: trees location
vehicle-parking,Vehicle parking,0,0,component: vehicle parking
waste-storage-collection,Waste storage and collection,0,0,component: waste and storage
